trial,run_name,learning_rate,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_accuracy,best_epoch,final_train_loss,final_val_loss,final_val_accuracy,checkpoint_path,history_path
1,full_run_coarse_search_trial_001,0.03,128,64,0.0,relu,0.6172839506172839,10,0.8603798418827158,1.0711001638718594,0.6172839506172839,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_001_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_001_history.json
2,full_run_coarse_search_trial_002,0.03,128,64,0.0,tanh,0.5995061728395061,8,0.9968091515384654,1.1931834242078994,0.5911111111111111,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_002_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_002_history.json
3,full_run_coarse_search_trial_003,0.03,128,64,0.0,sigmoid,0.45481481481481484,10,1.5375006418884116,1.537839039284506,0.45481481481481484,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_003_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_003_history.json
4,full_run_coarse_search_trial_004,0.03,128,64,0.0001,relu,0.6158024691358025,10,0.8825760001552722,1.1012371463151622,0.6158024691358025,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_004_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_004_history.json
5,full_run_coarse_search_trial_005,0.03,128,64,0.0001,tanh,0.5995061728395061,8,1.0190545101795498,1.214695492730317,0.591604938271605,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_005_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_005_history.json
6,full_run_coarse_search_trial_006,0.03,128,64,0.0001,sigmoid,0.454320987654321,10,1.5603061332981984,1.5606711015489372,0.454320987654321,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_006_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_006_history.json
7,full_run_coarse_search_trial_007,0.03,256,128,0.0,relu,0.64,8,0.7707478552646738,1.034405030262323,0.6365432098765432,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_007_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_007_history.json
8,full_run_coarse_search_trial_008,0.03,256,128,0.0,tanh,0.611358024691358,8,0.9259279067428023,1.1695471727112192,0.6027160493827161,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_008_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_008_history.json
9,full_run_coarse_search_trial_009,0.03,256,128,0.0,sigmoid,0.4812345679012346,10,1.4615446910656318,1.4673740484685074,0.4812345679012346,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_009_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_009_history.json
10,full_run_coarse_search_trial_010,0.03,256,128,0.0001,relu,0.6355555555555555,8,0.8116248342873107,1.0850098971543491,0.6291358024691358,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_010_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_010_history.json
11,full_run_coarse_search_trial_011,0.03,256,128,0.0001,tanh,0.6111111111111112,8,0.9676840209643656,1.2100760345188182,0.6027160493827161,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_011_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_011_history.json
12,full_run_coarse_search_trial_012,0.03,256,128,0.0001,sigmoid,0.4802469135802469,10,1.5036344278137768,1.5094461862540545,0.4802469135802469,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_012_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_012_history.json
13,full_run_coarse_search_trial_013,0.03,512,256,0.0,relu,0.66,8,0.6851368704422441,0.9903973484039307,0.6503703703703704,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_013_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_013_history.json
14,full_run_coarse_search_trial_014,0.03,512,256,0.0,tanh,0.6224691358024691,8,0.8766092084955286,1.1464727288116643,0.6180246913580247,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_014_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_014_history.json
15,full_run_coarse_search_trial_015,0.03,512,256,0.0,sigmoid,0.49234567901234566,10,1.4190377442546622,1.4293055961750172,0.49234567901234566,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_015_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_015_history.json
16,full_run_coarse_search_trial_016,0.03,512,256,0.0001,relu,0.6582716049382716,8,0.765479550847734,1.0688143231874636,0.6528395061728395,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_016_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_016_history.json
17,full_run_coarse_search_trial_017,0.03,512,256,0.0001,tanh,0.6229629629629629,8,0.9566242718408368,1.2252094442685446,0.6177777777777778,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_017_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_017_history.json
18,full_run_coarse_search_trial_018,0.03,512,256,0.0001,sigmoid,0.49135802469135803,10,1.4990458670245375,1.5092412031291442,0.49135802469135803,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_018_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_018_history.json
19,full_run_coarse_search_trial_019,0.01,128,64,0.0,relu,0.5888888888888889,10,1.0059746208645048,1.157628063743497,0.5888888888888889,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_019_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_019_history.json
20,full_run_coarse_search_trial_020,0.01,128,64,0.0,tanh,0.5807407407407408,8,1.1636800071928237,1.2634528981903452,0.5745679012345679,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_020_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_020_history.json
21,full_run_coarse_search_trial_021,0.01,128,64,0.0,sigmoid,0.3693827160493827,9,1.7840966069256818,1.7769356549816366,0.36790123456790125,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_021_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_021_history.json
22,full_run_coarse_search_trial_022,0.01,128,64,0.0001,relu,0.5869135802469135,8,1.030073937399283,1.1790475936630618,0.585925925925926,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_022_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_022_history.json
23,full_run_coarse_search_trial_023,0.01,128,64,0.0001,tanh,0.5804938271604938,8,1.1846512347805083,1.2842439383200663,0.5743209876543209,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_023_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_023_history.json
24,full_run_coarse_search_trial_024,0.01,128,64,0.0001,sigmoid,0.36864197530864196,9,1.8052183323522701,1.7980925814887632,0.3676543209876543,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_024_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_024_history.json
