trial,run_name,learning_rate,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_accuracy,best_epoch,final_train_loss,final_val_loss,final_val_accuracy,checkpoint_path,history_path
13,full_run_coarse_search_trial_013,0.03,512,256,0.0,relu,0.66,8,0.6851368704422441,0.9903973484039307,0.6503703703703704,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_013_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_013_history.json
16,full_run_coarse_search_trial_016,0.03,512,256,0.0001,relu,0.6582716049382716,8,0.765479550847734,1.0688143231874636,0.6528395061728395,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_016_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_016_history.json
7,full_run_coarse_search_trial_007,0.03,256,128,0.0,relu,0.64,8,0.7707478552646738,1.034405030262323,0.6365432098765432,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_007_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_007_history.json
10,full_run_coarse_search_trial_010,0.03,256,128,0.0001,relu,0.6355555555555555,8,0.8116248342873107,1.0850098971543491,0.6291358024691358,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_010_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_010_history.json
34,full_run_coarse_search_trial_034,0.01,512,256,0.0001,relu,0.6254320987654322,10,0.9545712530990285,1.1434401068946465,0.6254320987654322,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_034_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_034_history.json
17,full_run_coarse_search_trial_017,0.03,512,256,0.0001,tanh,0.6229629629629629,8,0.9566242718408368,1.2252094442685446,0.6177777777777778,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_017_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_017_history.json
14,full_run_coarse_search_trial_014,0.03,512,256,0.0,tanh,0.6224691358024691,8,0.8766092084955286,1.1464727288116643,0.6180246913580247,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_014_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_014_history.json
31,full_run_coarse_search_trial_031,0.01,512,256,0.0,relu,0.6224691358024691,10,0.8748856578932868,1.061283989335284,0.6224691358024691,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_031_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_031_history.json
1,full_run_coarse_search_trial_001,0.03,128,64,0.0,relu,0.6172839506172839,10,0.8603798418827158,1.0711001638718594,0.6172839506172839,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_001_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_001_history.json
4,full_run_coarse_search_trial_004,0.03,128,64,0.0001,relu,0.6158024691358025,10,0.8825760001552722,1.1012371463151622,0.6158024691358025,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_coarse_search_trial_004_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_coarse_search_trial_004_history.json
