trial,run_name,learning_rate,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_accuracy,best_epoch,final_train_loss,final_val_loss,final_val_accuracy,checkpoint_path,history_path
1,full_run_fine_search_trial_001,0.015,256,128,0.0,relu,0.6409876543209877,15,0.751202837108935,1.0213100009788703,0.6409876543209877,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_001_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_001_history.json
2,full_run_fine_search_trial_002,0.015,256,128,1e-05,relu,0.6392592592592593,15,0.7562061511524183,1.0312540211588073,0.6392592592592593,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_002_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_002_history.json
3,full_run_fine_search_trial_003,0.015,256,128,0.0001,relu,0.6444444444444445,15,0.7914778160267175,1.0611407888859878,0.6444444444444445,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_003_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_003_history.json
4,full_run_fine_search_trial_004,0.015,512,256,0.0,relu,0.6612345679012346,15,0.6896162499069537,0.971454578799966,0.6612345679012346,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_004_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_004_history.json
5,full_run_fine_search_trial_005,0.015,512,256,1e-05,relu,0.6582716049382716,15,0.6976242492335406,0.9814725894592425,0.6582716049382716,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_005_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_005_history.json
6,full_run_fine_search_trial_006,0.015,512,256,0.0001,relu,0.6617283950617284,15,0.7689393013765045,1.052742406533089,0.6617283950617284,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_006_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_006_history.json
7,full_run_fine_search_trial_007,0.015,768,384,0.0,relu,0.6595061728395062,14,0.6533068970523814,0.9641232426372576,0.6582716049382716,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_007_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_007_history.json
8,full_run_fine_search_trial_008,0.015,768,384,1e-05,relu,0.6607407407407407,14,0.6644195475750473,0.9759244562621183,0.6607407407407407,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_008_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_008_history.json
9,full_run_fine_search_trial_009,0.015,768,384,0.0001,relu,0.6587654320987655,15,0.7715014565442809,1.082374960288295,0.6587654320987655,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_009_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_009_history.json
10,full_run_fine_search_trial_010,0.03,256,128,0.0,relu,0.6530864197530865,14,0.6403478800178205,1.009094161104273,0.6449382716049382,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_010_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_010_history.json
11,full_run_fine_search_trial_011,0.03,256,128,1e-05,relu,0.6545679012345679,14,0.6419593826641284,1.0084657338472067,0.6471604938271605,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_011_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_011_history.json
12,full_run_fine_search_trial_012,0.03,256,128,0.0001,relu,0.6424691358024691,15,0.6798895139975976,1.0640330617210019,0.6424691358024691,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_012_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_012_history.json
13,full_run_fine_search_trial_013,0.03,512,256,0.0,relu,0.6661728395061728,15,0.5508153163945233,0.9426883930041466,0.6661728395061728,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_013_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_013_history.json
14,full_run_fine_search_trial_014,0.03,512,256,1e-05,relu,0.6632098765432098,15,0.5605292924721528,0.952161070132314,0.6632098765432098,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_014_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_014_history.json
15,full_run_fine_search_trial_015,0.03,512,256,0.0001,relu,0.6671604938271605,15,0.633954735045196,1.0288168152349975,0.6671604938271605,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_015_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_015_history.json
16,full_run_fine_search_trial_016,0.03,768,384,0.0,relu,0.6708641975308642,15,0.5126036287363244,0.9577237974861522,0.6708641975308642,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_016_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_016_history.json
17,full_run_fine_search_trial_017,0.03,768,384,1e-05,relu,0.6706172839506173,15,0.5205972547743396,0.9586183865445922,0.6706172839506173,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_017_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_017_history.json
18,full_run_fine_search_trial_018,0.03,768,384,0.0001,relu,0.668641975308642,15,0.6272971555523946,1.0722088892312691,0.668641975308642,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/checkpoints/full_run_fine_search_trial_018_best.npz,/Users/football_prince/Desktop/2 研究生/1 课程文件/深度学习与空间智能/hw1/results/curves/full_run_fine_search_trial_018_history.json
